Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,null,null,null,null,null,null
2019-01-02,685.409973,687.739990,682.400024,684.919983,684.919983,449400000
2019-01-03,685.210022,695.299988,685.210022,695.299988,695.299988,773500000
2019-01-04,692.369995,701.739990,691.479980,701.739990,701.739990,995400000
2019-01-07,708.109985,713.150024,704.109985,704.109985,704.109985,1043000000
2019-01-08,704.520020,707.460022,694.359985,698.650024,698.650024,977100000
2019-01-09,702.419983,705.109985,694.000000,694.400024,694.400024,747100000
2019-01-10,697.000000,706.570007,691.650024,706.570007,706.570007,964000000
2019-01-11,709.419983,712.760010,706.070007,712.760010,712.760010,690400000
2019-01-14,709.559998,711.109985,700.760010,706.150024,706.150024,585700000
2019-01-15,708.140015,718.289978,705.909973,718.289978,718.289978,1027600000
2019-01-16,719.609985,722.640015,714.429993,717.669983,717.669983,1323600000
2019-01-17,719.320007,725.599976,719.320007,721.429993,721.429993,1024500000
2019-01-18,723.989990,726.080017,719.140015,726.080017,726.080017,763500000
2019-01-21,728.309998,729.869995,723.799988,723.799988,723.799988,667400000
2019-01-22,724.080017,725.140015,717.280029,724.760010,724.760010,673900000
2019-01-23,722.669983,726.159973,720.140015,721.309998,721.309998,829700000
2019-01-24,722.989990,725.080017,720.650024,724.570007,724.570007,904300000
2019-01-25,727.440002,728.630005,721.989990,725.820007,725.820007,914400000
2019-01-28,727.570007,728.530029,714.469971,718.890015,718.890015,994300000
2019-01-29,718.619995,720.599976,715.119995,716.119995,716.119995,742200000
2019-01-30,716.690002,720.059998,714.549988,718.750000,718.750000,895900000
2019-01-31,724.059998,728.770020,722.260010,727.010010,727.010010,1333000000
2019-02-01,728.849976,730.929993,722.330017,726.809998,726.809998,660900000
2019-02-04,727.469971,729.010010,713.909973,716.080017,716.080017,849300000
2019-02-05,null,null,null,null,null,null
2019-02-06,720.559998,728.010010,720.530029,726.179993,726.179993,1174700000
2019-02-07,727.630005,727.929993,720.179993,722.049988,722.049988,1060000000
2019-02-08,718.940002,719.289978,713.770020,717.520020,717.520020,735400000
2019-02-11,717.770020,718.390015,710.369995,710.369995,710.369995,778100000
2019-02-12,709.960022,711.590027,695.239990,698.580017,698.580017,1020900000
2019-02-13,702.179993,704.479980,694.409973,699.919983,699.919983,970300000
2019-02-14,701.989990,702.960022,695.270020,696.630005,696.630005,726200000
2019-02-15,697.380005,697.880005,687.989990,693.429993,693.429993,943600000
2019-02-18,700.250000,711.859985,700.030029,710.320007,710.320007,858000000
2019-02-19,711.049988,712.500000,708.119995,708.119995,708.119995,808600000
2019-02-20,713.919983,715.710022,709.070007,713.630005,713.630005,1004800000
2019-02-21,713.020020,717.140015,710.210022,716.450012,716.450012,1053100000
2019-02-22,714.909973,716.280029,709.090027,712.010010,712.010010,839400000
2019-02-25,715.690002,716.900024,711.880005,712.900024,712.900024,687300000
2019-02-26,713.119995,716.030029,708.299988,716.030029,716.030029,644800000
2019-02-27,715.349976,716.539978,709.239990,713.239990,713.239990,855800000
2019-02-28,713.280029,713.280029,697.469971,698.320007,698.320007,1046300000
2019-03-01,702.849976,708.010010,701.830017,704.479980,704.479980,627000000
2019-03-04,706.659973,707.880005,704.549988,704.669983,704.669983,626600000
2019-03-05,705.690002,705.719971,695.739990,700.880005,700.880005,737100000
2019-03-06,703.630005,705.840027,699.210022,700.669983,700.669983,644800000
2019-03-07,null,null,null,null,null,null
2019-03-08,697.130005,697.919983,689.799988,689.799988,689.799988,716900000
2019-03-11,694.349976,696.250000,688.280029,690.090027,690.090027,704700000
2019-03-12,694.219971,696.219971,687.229980,690.469971,690.469971,654100000
2019-03-13,688.369995,695.010010,687.770020,694.429993,694.429993,698500000
2019-03-14,694.539978,700.309998,693.419983,700.049988,700.049988,660500000
2019-03-15,698.219971,708.099976,698.219971,704.419983,704.419983,1020100000
2019-03-18,706.559998,712.020020,705.539978,712.020020,712.020020,619000000
2019-03-19,712.059998,713.739990,705.669983,706.219971,706.219971,549500000
2019-03-20,706.969971,707.510010,703.080017,706.239990,706.239990,656600000
2019-03-21,709.299988,711.900024,706.530029,711.900024,711.900024,851100000
2019-03-22,713.349976,713.869995,709.419983,711.929993,711.929993,629400000
2019-03-25,705.109985,705.109985,693.330017,695.950012,695.950012,758100000
2019-03-26,700.260010,705.929993,699.989990,705.909973,705.909973,553000000
2019-03-27,707.599976,708.510010,701.500000,701.500000,701.500000,600500000
2019-03-28,702.479980,705.020020,699.150024,704.549988,704.549988,734700000
2019-03-29,705.140015,706.570007,698.890015,704.690002,704.690002,836400000
2019-04-01,707.320007,708.580017,703.500000,704.039978,704.039978,836200000
2019-04-02,706.359985,707.299988,702.039978,705.270020,705.270020,669500000
2019-04-03,null,null,null,null,null,null
2019-04-04,706.450012,708.909973,704.159973,708.609985,708.609985,872500000
2019-04-05,708.340027,708.940002,704.830017,706.400024,706.400024,685100000
2019-04-08,706.400024,707.130005,694.000000,699.599976,699.599976,751700000
2019-04-09,701.080017,709.729980,699.450012,708.929993,708.929993,753900000
2019-04-10,706.869995,709.729980,703.950012,709.729980,709.729980,676100000
2019-04-11,706.219971,706.799988,697.020020,697.020020,697.020020,487500000
2019-04-12,693.489990,699.409973,693.200012,694.960022,694.960022,668300000
2019-04-15,697.419983,698.840027,693.070007,695.809998,695.809998,690700000
2019-04-16,697.130005,705.590027,696.919983,704.570007,704.570007,883400000
2019-04-17,null,null,null,null,null,null
2019-04-18,717.979980,720.419983,702.919983,706.250000,706.250000,1321300000
2019-04-19,null,null,null,null,null,null
2019-04-22,706.690002,707.169983,691.169983,692.030029,692.030029,584400000
2019-04-23,693.989990,704.919983,693.309998,703.770020,703.770020,697000000
2019-04-24,703.080017,705.229980,697.679993,700.340027,700.340027,648700000
2019-04-25,696.799988,698.080017,683.969971,687.330017,687.330017,640600000
2019-04-26,685.200012,692.270020,681.200012,692.270020,692.270020,486700000
2019-04-29,688.030029,689.900024,682.320007,687.960022,687.960022,529600000
